,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{   -0.006580922       -0.022476700        0.297877940},{   -0.005649293       -0.020582142        0.293929775},{    0.098548487        0.081989007        0.284792123},{    0.098041144        0.081069443        0.280592630}
,{   -0.006814597       -0.022934540        0.297840086},{   -0.005882680       -0.021029549        0.293894774},{    0.098295827        0.081863862        0.284860731},{    0.097793549        0.080948285        0.280660462}
,{   -0.007047153       -0.023392616        0.297801683},{   -0.006114980       -0.021477200        0.293859234},{    0.098043326        0.081738398        0.284929178},{    0.097546105        0.080826817        0.280728139}
,{   -0.007278592       -0.023850924        0.297762731},{   -0.006346192       -0.021925094        0.293823156},{    0.097790982        0.081612617        0.284997464},{    0.097298811        0.080705039        0.280795659}
,{   -0.007508912       -0.024309463        0.297723232},{   -0.006576317       -0.022373225        0.293786540},{    0.097538796        0.081486519        0.285065588},{    0.097051668        0.080582952        0.280863023}
,{   -0.007738115       -0.024768227        0.297683187},{   -0.006805355       -0.022821593        0.293749387},{    0.097286770        0.081360103        0.285133551},{    0.096804677        0.080460555        0.280930231}
,{   -0.007966200       -0.025227216        0.297642596},{   -0.007033307       -0.023270193        0.293711698},{    0.097034903        0.081233371        0.285201353},{    0.096557838        0.080337851        0.280997282}
,{   -0.008193169       -0.025686425        0.297601461},{   -0.007260171       -0.023719023        0.293673474},{    0.096783197        0.081106323        0.285268993},{    0.096311152        0.080214838        0.281064176}
,{   -0.008419021       -0.026145851        0.297559781},{   -0.007485950       -0.024168079        0.293634715},{    0.096531651        0.080978959        0.285336471},{    0.096064618        0.080091517        0.281130914}
,{   -0.008643757       -0.026605491        0.297517559},{   -0.007710643       -0.024617359        0.293595423},{    0.096280266        0.080851279        0.285403788},{    0.095818239        0.079967889        0.281197496}
,{   -0.008867377       -0.027065343        0.297474795},{   -0.007934250       -0.025066860        0.293555598},{    0.096029042        0.080723285        0.285470943},{    0.095572013        0.079843953        0.281263920}
,{   -0.009089881       -0.027525403        0.297431489},{   -0.008156771       -0.025516578        0.293515242},{    0.095777981        0.080594975        0.285537936},{    0.095325942        0.079719711        0.281330188}
,{   -0.009311270       -0.027985668        0.297387643},{   -0.008378208       -0.025966511        0.293474354},{    0.095527082        0.080466352        0.285604767},{    0.095080026        0.079595163        0.281396299}
,{   -0.009531545       -0.028446136        0.297343257},{   -0.008598560       -0.026416656        0.293432936},{    0.095276347        0.080337415        0.285671436},{    0.094834266        0.079470309        0.281462252}
,{   -0.009750705       -0.028906802        0.297298333},{   -0.008817827       -0.026867010        0.293390989},{    0.095025775        0.080208164        0.285737943},{    0.094588662        0.079345149        0.281528049}
,{   -0.009968750       -0.029367665        0.297252870},{   -0.009036010       -0.027317569        0.293348513},{    0.094775367        0.080078601        0.285804288},{    0.094343214        0.079219684        0.281593689}
,{   -0.010185683       -0.029828721        0.297206871},{   -0.009253109       -0.027768332        0.293305509},{    0.094525125        0.079948725        0.285870471},{    0.094097924        0.079093914        0.281659171}
,{   -0.010401502       -0.030289967        0.297160336},{   -0.009469125       -0.028219294        0.293261979},{    0.094275047        0.079818536        0.285936491},{    0.093852791        0.078967839        0.281724496}
,{   -0.010616208       -0.030751401        0.297113266},{   -0.009684057       -0.028670454        0.293217922},{    0.094025135        0.079688036        0.286002349},{    0.093607816        0.078841461        0.281789664}
,{   -0.010829802       -0.031213019        0.297065661},{   -0.009897906       -0.029121808        0.293173340},{    0.093775389        0.079557225        0.286068045},{    0.093363000        0.078714779        0.281854674}
,{   -0.011042283       -0.031674818        0.297017522},{   -0.010110673       -0.029573353        0.293128234},{    0.093525810        0.079426102        0.286133578},{    0.093118343        0.078587793        0.281919527}
,{   -0.011253653       -0.032136795        0.296968851},{   -0.010322358       -0.030025087        0.293082603},{    0.093276398        0.079294669        0.286198948},{    0.092873845        0.078460505        0.281984222}
,{   -0.011463912       -0.032598948        0.296919648},{   -0.010532961       -0.030477006        0.293036451},{    0.093027154        0.079162926        0.286264156},{    0.092629507        0.078332914        0.282048759}
,{   -0.011673061       -0.033061274        0.296869914},{   -0.010742482       -0.030929108        0.292989776},{    0.092778078        0.079030873        0.286329201},{    0.092385330        0.078205021        0.282113139}
,{   -0.011881099       -0.033523769        0.296819651},{   -0.010950923       -0.031381389        0.292942580},{    0.092529171        0.078898510        0.286394084},{    0.092141314        0.078076827        0.282177361}
,{   -0.012088027       -0.033986431        0.296768857},{   -0.011158283       -0.031833848        0.292894863},{    0.092280433        0.078765839        0.286458803},{    0.091897459        0.077948331        0.282241425}
,{   -0.012293846       -0.034449257        0.296717536},{   -0.011364562       -0.032286480        0.292846627},{    0.092031865        0.078632859        0.286523359},{    0.091653766        0.077819534        0.282305331}
,{   -0.012498555       -0.034912244        0.296665686},{   -0.011569761       -0.032739284        0.292797873},{    0.091783467        0.078499571        0.286587753},{    0.091410236        0.077690436        0.282369080}
,{   -0.012702157       -0.035375389        0.296613311},{   -0.011773881       -0.033192256        0.292748600},{    0.091535239        0.078365975        0.286651983},{    0.091166868        0.077561038        0.282432670}
,{   -0.012904650       -0.035838689        0.296560409},{   -0.011976922       -0.033645394        0.292698810},{    0.091287183        0.078232072        0.286716051},{    0.090923664        0.077431341        0.282496102}
,{   -0.013106037       -0.036302141        0.296506982},{   -0.012178884       -0.034098695        0.292648505},{    0.091039299        0.078097862        0.286779955},{    0.090680624        0.077301344        0.282559376}
,{   -0.013306316       -0.036765743        0.296453031},{   -0.012379768       -0.034552156        0.292597683},{    0.090791587        0.077963345        0.286843695},{    0.090437749        0.077171048        0.282622491}
